Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pension Details,Chrome 66.0.3359.181,,2018-05-18 14:45:54,2018-05-18 14:47:04,1m - 9.594s,FAILED
,,,,,,
Test Cases/Misc/Login,Chrome 66.0.3359.181,,2018-05-18 14:45:55,2018-05-18 14:46:31,36.488s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-05-18 14:45:56,2018-05-18 14:46:03,7.590s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-18 14:46:03,2018-05-18 14:46:06,2.480s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-18 14:46:06,2018-05-18 14:46:06,0.424s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 14:46:06,2018-05-18 14:46:06,0.234s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-18 14:46:06,2018-05-18 14:46:11,5.062s,PASSED
mouseOver,Chrome 66.0.3359.181,,2018-05-18 14:46:11,2018-05-18 14:46:16,4.138s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-18 14:46:16,2018-05-18 14:46:21,5.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 14:46:21,2018-05-18 14:46:21,0.230s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-18 14:46:21,2018-05-18 14:46:26,5.002s,PASSED
mouseOver,Chrome 66.0.3359.181,,2018-05-18 14:46:26,2018-05-18 14:46:26,0.114s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-18 14:46:26,2018-05-18 14:46:31,5.002s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 14:46:31,2018-05-18 14:46:31,0.476s,FAILED
,,,,,,
Test Cases/Add records/Pension Details,Chrome 66.0.3359.181,,2018-05-18 14:46:31,2018-05-18 14:47:03,31.597s,FAILED
selectOptionByValue,Chrome 66.0.3359.181,,2018-05-18 14:46:32,2018-05-18 14:47:03,31.104s,FAILED
