Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify links,Chrome 67.0.3396.99,,2018-07-18 08:41:28,2018-07-18 08:46:41,5m - 12.931s,PASSED
,,,,,,
Test Cases/Login/Login,Chrome 67.0.3396.99,,2018-07-18 08:41:29,2018-07-18 08:41:47,18.149s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-18 08:41:29,2018-07-18 08:41:37,8.026s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-18 08:41:37,2018-07-18 08:41:41,3.730s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-18 08:41:41,2018-07-18 08:41:43,1.421s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:41:43,2018-07-18 08:41:43,0.181s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-18 08:41:43,2018-07-18 08:41:44,1.193s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:41:44,2018-07-18 08:41:47,3.033s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Payroll Companies,Chrome 67.0.3396.99,,2018-07-18 08:41:47,2018-07-18 08:41:58,11.472s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:41:47,2018-07-18 08:41:51,4.004s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:41:51,2018-07-18 08:41:52,0.764s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:41:52,2018-07-18 08:41:55,3.001s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:41:55,2018-07-18 08:41:55,0.115s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:41:55,2018-07-18 08:41:57,2.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:41:57,2018-07-18 08:41:58,1.022s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:41:58,2018-07-18 08:41:58,0.148s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - BACS Details,Chrome 67.0.3396.99,,2018-07-18 08:41:58,2018-07-18 08:42:04,5.482s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:41:59,2018-07-18 08:42:02,3.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:42:02,2018-07-18 08:42:04,2.119s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:42:04,2018-07-18 08:42:04,0.116s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Calculation Controls,Chrome 67.0.3396.99,,2018-07-18 08:42:04,2018-07-18 08:42:08,4.535s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:42:04,2018-07-18 08:42:07,3.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:42:07,2018-07-18 08:42:08,1.056s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:42:08,2018-07-18 08:42:08,0.169s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - National Insurance,Chrome 67.0.3396.99,,2018-07-18 08:42:08,2018-07-18 08:42:13,4.452s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:42:09,2018-07-18 08:42:12,3.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:42:12,2018-07-18 08:42:13,1.044s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:42:13,2018-07-18 08:42:13,0.138s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - AEO Admin Fees,Chrome 67.0.3396.99,,2018-07-18 08:42:13,2018-07-18 08:42:17,4.479s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:42:13,2018-07-18 08:42:16,3.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:42:16,2018-07-18 08:42:17,1.099s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:42:17,2018-07-18 08:42:17,0.106s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Payroll Cost Code Facets,Chrome 67.0.3396.99,,2018-07-18 08:42:17,2018-07-18 08:42:21,3.075s,PASSED
